GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Subnational unit,Latitude,Longitude,Coordinate accuracy,Plant status,Number of units,Plant age (years),Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Main production equipment,Workforce size,GEM wiki page
P100000120917,Metinvest EAF steel plant,Metinvest Holding LLC,Metinvest BV [100.0%],Ukraine,Europe,unknown,49.039389,31.332628,approximate,cancelled,1,,0.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Metinvest_EAF_steel_plant
P100000120914,Metinvest Ilyich Iron and Steel Works,Mariupolskyi Metalurgiinyi Kombinat Imeni Illicha PrAT,SCM Holdings Ltd [71.2%]; unknown [5.0%]; Smart Holding (Cyprus) Ltd,Ukraine,Europe,Donetsk,47.1402768,37.5943416,exact,mothballed,1,129.0,0.0,0.0,,12340.0,,,BF; BOF,14032,https://www.gem.wiki/Metinvest_Ilyich_Iron_and_Steel_Works
P100000121211,Metinvest Piombino steel plant,Metinvest Adria SpA,Metinvest BV [75.0%]; Danieli & C Officine Meccaniche SpA [25.0%],Italy,Europe,Province of Livorno,42.93652,10.537794,exact,construction,1,,0.0,0.0,,,,,DRI; EAF,1500,https://www.gem.wiki/Metinvest_Piombino_steel_plant
P100000120916,Metinvest Zaporizhstal steel plant,Zaporiz'kyi Metalurhiinyi Kombinat Zaporizhstal' PJSC,Metinvest BV [47.0%]; Global Steel Investments Ltd [36.8%]; Eastrade Ltd [11.2%],Ukraine,Europe,Zaporizhzhia,47.86838,35.161773,exact,operating,2,93.0,4102.0,4371.0,,6300.0,,,BF; Steel other/unspecified; BOF,8000,https://www.gem.wiki/Metinvest_Zaporizhstal_steel_plant
P100000120865,Millcon Steel Rayong steel plant,Millcon Steel PCL,Millcon Steel PCL [100.0%],Thailand,Asia Pacific,Rayong,12.819544,101.152954,exact,operating,1,28.0,800.0,0.0,,,,,EAF,493,https://www.gem.wiki/Millcon_Steel_Rayong_steel_plant
P100001046616,Mintal Group DRI plant,Mintal Group Co Ltd,Beijing Dow Investment Holding Co Ltd [81.3%]; Minmetals Development Co Ltd [15.7%]; unknown [3.0%],China,Asia Pacific,Inner Mongolia,41.7915,109.865367,exact,announced,1,,0.0,0.0,,,,,DRI,unknown,https://www.gem.wiki/Mintal_Group_DRI_plant
P100000120339,Minyuan Iron and Steel Group Co Ltd,Minyuan Iron and Steel Group Co Ltd,natural person(s) [66.7%]; Fujian Mingfa Investment Co Ltd [33.3%],China,Asia Pacific,Henan,34.013369,116.422599,exact,operating,2,23.0,2700.0,2510.0,,,,,BF; BOF,2568,https://www.gem.wiki/Minyuan_Iron_and_Steel_Group_Co_Ltd
P100000121038,Mitsui-Kobe Duqm DRI plant,Mitsui-Kobe Steel JV,Kobe Steel Ltd; Mitsui & Co Ltd,Oman,Middle East,Al Wusta,19.529594,57.61573,approximate,announced,1,,0.0,0.0,,,,,DRI,unknown,https://www.gem.wiki/Mitsui-Kobe_Duqm_DRI_plant
P100000120601,Miyaneh Steel East Azerbaijan steel plant,Mianeh Steel,Iranian Mines & Mining Industries Development & Renovation Organization,Iran,Middle East,East Azerbaijan,37.37881,47.736689,exact,operating,2,9.0,0.0,800.0,,,,,DRI; EAF,610,https://www.gem.wiki/Miyaneh_Steel_East_Azerbaijan_steel_plant
P100000120880,MMK Türkiye Metallurgical Payas steel plant,MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],Türkiye,Europe,Hatay,36.768975,36.213842,exact,operating,1,15.0,2300.0,0.0,,,,,EAF,1219,https://www.gem.wiki/MMK_Türkiye_Metallurgical_Payas_steel_plant
P100000121197,Mobarakeh Saba Steel Chamgordan plant,Mobarakeh Steel Co,Iranian Mines & Mining Industries Development & Renovation Organization,Iran,Middle East,Isfahan,32.40787,51.338985,exact,operating,1,20.0,1600.0,1500.0,,,,,DRI; EAF,unknown,https://www.gem.wiki/Mobarakeh_Saba_Steel_Chamgordan_plant
P100000120584,Mobarakeh Steel Complex Isfahan,Mobarakeh Steel Co,Iranian Mines & Mining Industries Development & Renovation Organization,Iran,Middle East,Isfahan,32.244,51.4263,exact,mothballed,1,35.0,0.0,0.0,,5600.0,,7200.0,DRI; EAF,12092,https://www.gem.wiki/Mobarakeh_Steel_Complex_Isfahan
P100000120581,Mobarakeh Steel Hormuzgan Steel Company plant,Mobarakeh Steel Co,Iranian Mines & Mining Industries Development & Renovation Organization,Iran,Middle East,Hormuzgan,27.161426,56.10058,exact,operating,2,15.0,1500.0,1650.0,,,,,DRI; EAF,1500,https://www.gem.wiki/Mobarakeh_Steel_Hormuzgan_Steel_Company_plant
P100000120612,Mobarakeh Steel Sefid Dasht Steel Complex,Mobarakeh Steel Co,Iranian Mines & Mining Industries Development & Renovation Organization,Iran,Middle East,Chaharmahal and Bakhtiari Province,32.19669,51.184156,exact,operating,1,10.0,1000.0,802.0,,,,,DRI; EAF,700,https://www.gem.wiki/Mobarakeh_Steel_Sefid_Dasht_Steel_Complex
P100000121239,Mono Steel Gandhidham plant,Mono Steel (India) Ltd,Mono Steel (India) Ltd [100.0%],India,Asia Pacific,Gujarat,23.312265,70.201953,exact,operating,1,36.0,770.0,255.0,,,,,BF; DRI; IF,unknown,https://www.gem.wiki/Mono_Steel_Gandhidham_plant
P100000120763,Moon Iron & Steel Company Sohar plant,Moon Iron and Steel Company SAOC,Gulf Investment Corp; Oman Development Fund Company SAOC; Sultan Special Force Pension Fund,Oman,Middle East,Al Batinah North,24.409437,56.520134,exact,mothballed,1,6.0,0.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Moon_Iron_&_Steel_Company_Sohar_plant
P100000120778,Mount Zynai Zamboanga Sibugay steel plant,Mount Zynai 0304 Mining Corp,Mount Zynai 0304 Mining Corp [100.0%],Philippines,Asia Pacific,Mindanao,7.716994,122.998671,approximate,construction,1,0.0,0.0,0.0,,,,,Iron other/unspecified; Steel other/unspecified,20000,https://www.gem.wiki/Mount_Zynai_Zamboanga_Sibugay_steel_plant
P100000120567,MSP Steel & Power Raigarh plant,MSP Steel & Power Ltd,MSP Steel & Power Ltd [100.0%],India,Asia Pacific,Chhattisgarh,21.87673,83.554495,exact,operating,2,24.0,385.0,375.0,300.0,900.0,,1250.0,DRI; IF; BF,1073,https://www.gem.wiki/MSP_Steel_&_Power_Raigarh_plant
P100000121231,Mughal Iron & Steel Industries Lahore plant,Mughal Iron & Steel Industries Ltd,Mughal Iron & Steel Industries Ltd [100.0%],Pakistan,Asia Pacific,Punjab,31.653035,74.183149,exact,operating,1,27.0,583.0,0.0,,,,,IF,2080,https://www.gem.wiki/Mughal_Iron_&_Steel_Industries_Lahore_plant
P100001062087,Mukand Sumi Special Steel Hospet steel plant,Mukand Sumi Special Steel Ltd,Jamnalal Sons Pvt Ltd [51.0%]; Sumitomo Corp [49.0%],India,Asia Pacific,Karnataka,15.328976,76.258613,exact,operating,2,4.55,450.0,450.0,,,,,BF; Steel other/unspecified,unknown,https://www.gem.wiki/Mukand_Sumi_Special_Steel_Hospet_steel_plant
P100000121156,Myingyan Myanmar steel plant,Myanmar Economic Corp,Myanmar Economic Corp [100.0%],Myanmar,Asia Pacific,Mandalay,21.377652,95.372079,exact,operating,2,,400.0,0.0,,,,,EAF; DRI,354,https://www.gem.wiki/Myingyan_Myanmar_steel_plant
P100001025672,N R Ispat and Power Raigarh steel plant,NR Ispat and Power Pvt Ltd,NR Ispat and Power Pvt Ltd [100.0%],India,Asia Pacific,Chhattisgarh,22.013086,83.330372,exact,operating,2,18.0,297.0,456.0,,,,,DRI; IF,unknown,https://www.gem.wiki/N_R_Ispat_and_Power_Raigarh_steel_plant
P100000120813,Nadezhdinski Metallurgical Plant,UMK-Stal LLC,Nokomis Select Inc [33.0%]; Tretiy Kod CJSC [32.8%]; Satelait JSC [17.7%]; Assets-M JSC [17.0%],Russia,Eurasia,Sverdlovsk,59.593854,60.591196,exact,operating,2,130.0,756.0,365.0,,660.0,,,BF; EAF,4400,https://www.gem.wiki/Nadezhdinski_Metallurgical_Plant
P100000120678,Nakayama Steel Products Osaka plant,Nakayama Steel Products Co Ltd,Godo Steel Ltd; Kyoei Steel Ltd; MM Construction Materials Co Ltd,Japan,Asia Pacific,Osaka,34.699762,135.430119,exact,operating,1,75.81,600.0,0.0,,,,,EAF,195,https://www.gem.wiki/Nakayama_Steel_Products_Osaka_plant
P100000120679,Nakayama Steel Works Osaka,Nakayama Steel Works Ltd,Nakayama Steel Works Ltd [100.0%],Japan,Asia Pacific,Osaka,34.628162,135.459688,exact,operating,2,97.0,600.0,0.0,,,,,EAF,434,https://www.gem.wiki/Nakayama_Steel_Works_Osaka
P100000120190,Nanjing Iron and Steel Co Ltd,Nanjing Iron & Steel Co Ltd,Nanjing Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Jiangsu,32.200797,118.746315,exact,operating,1,68.0,10000.0,8600.0,,,,,BF; BOF,4839,https://www.gem.wiki/Nanjing_Iron_and_Steel_Co_Ltd
P100000120165,Nanyang Hanye Special Steel Co Ltd,Nanyang Hanye SPECIAL STREET Co Ltd,Henan Longcheng Group Co Ltd [100.0%],China,Asia Pacific,Henan,33.269324,111.534635,exact,operating,1,23.0,3000.0,2244.0,,,,,BF; BOF,3411,https://www.gem.wiki/Nanyang_Hanye_Special_Steel_Co_Ltd
P100000120585,Natanz Steel Company Isfahan plant,Natanz Steel Co,Natanz Steel Co [100.0%],Iran,Middle East,Isfahan,33.428593,51.982273,exact,operating,2,25.0,733.0,0.0,,,,2000.0,EAF; DRI; IF,750,https://www.gem.wiki/Natanz_Steel_Company_Isfahan_plant
P100000120780,National Steel Complex Limited Karachi steel plant,National Steel Complex Ltd,Ciena Group,Pakistan,Asia Pacific,Sindh,24.794779,67.353032,exact,mothballed,2,13.13,0.0,0.0,,,,,EAF; DRI,unknown,https://www.gem.wiki/National_Steel_Complex_Limited_Karachi_steel_plant
P100000120540,Neelachal Ispat Nigam steel plant,Neelachal Ispat Nigam Ltd,Tata Steel Long Products Ltd [92.7%]; Tata Steel Ltd [5.2%]; small shareholder(s) [2.1%],India,Asia Pacific,Odisha,20.998641,86.019102,exact,operating,3,44.0,1100.0,1100.0,,1710.0,880.0,,BF; BOF,1400,https://www.gem.wiki/Neelachal_Ispat_Nigam_steel_plant
P100001080714,Nemo Industries Ironworks I,Nemo Industries Inc,Nemo Industries Inc [100.0%],United States,North America,Louisiana,30.09283875301732,-90.9539266739139,approximate,announced,1,,0.0,0.0,,,,,DRI; EAF,350,https://www.gem.wiki/Nemo_Industries_Ironworks_I
P100000120611,Neyriz Ghadir Steel Company Fars plant,Neyriz Ghadir Steel Co,Ghadir Investment Company PJSC [65.0%]; Iranian Mines & Mining Industries Development & Renovation Organization [35.0%],Iran,Middle East,Fars,29.168087,54.621487,exact,operating,1,8.0,1000.0,800.0,,,,2500.0,DRI; EAF,1100,https://www.gem.wiki/Neyriz_Ghadir_Steel_Company_Fars_plant
P100000121165,Nilachal Iron & Power Gamharia steel plant,Nilachal Iron & Power Ltd,Nilachal Iron & Power Ltd [100.0%],India,Asia Pacific,Jharkhand,22.874863,86.063646,exact,operating,4,24.0,99.0,379.0,,,,,DRI; IF,1552,https://www.gem.wiki/Nilachal_Iron_&_Power_Gamharia_steel_plant
P100000120400,Ningbo Haoyang New Materials Techonology Co Ltd,Ningbo Haoyang New MATERIALS Techonology Co Ltd,Ningbo Haoyang New MATERIALS Techonology Co Ltd [100.0%],China,Asia Pacific,Zhejiang,30.267113,121.052503,exact,operating,1,6.39,500.0,0.0,,,,,EAF,400,https://www.gem.wiki/Ningbo_Haoyang_New_Materials_Techonology_Co_Ltd
P100000120305,Ningbo Iron and Steel Co Ltd,Ningbo Iron & Steel Co Ltd,Hang Zhou Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Zhejiang,29.918776,121.876423,exact,operating,2,23.1,3999.0,4260.0,,4402.0,756.0,,BF; BOF,2979,https://www.gem.wiki/Ningbo_Iron_and_Steel_Co_Ltd
P100000121148,Ningxia Boyu Hongxing Special Steel Group Co,Ningxia Boyu Hongxing Special Steel Group Co Ltd,Ningxia Boyu Hongxing Special Steel Group Co Ltd [100.0%],China,Asia Pacific,Ningxia,39.273832,106.75146,exact,retired,1,19.14,0.0,0.0,,,,,BF; BOF,unknown,https://www.gem.wiki/Ningxia_Boyu_Hongxing_Special_Steel_Group_Co
P100000120232,Ningxia Iron and Steel Group Co Ltd,Ningxia Iron and Steel (Group) Co Ltd,Ningxia Haofeng Weiye Steel Co Ltd [79.0%]; natural person(s) [21.0%],China,Asia Pacific,Ningxia,37.503054,105.078348,exact,operating,2,68.0,1800.0,2590.0,,,,,BF; BOF,944,https://www.gem.wiki/Ningxia_Iron_and_Steel_Group_Co_Ltd
P100000121052,Ningxia Jianlong Special Steel Co Ltd,Ningxia Jianlong Special Steel Co Ltd,Beijing Jianlong Investment Co Ltd [90.2%]; unknown [9.8%],China,Asia Pacific,Ningxia,39.215452,106.688294,exact,operating,1,13.84,3500.0,3501.0,,6000.0,1300.0,,BF; BOF,2249,https://www.gem.wiki/Ningxia_Jianlong_Special_Steel_Co_Ltd
P100000120411,Ningxia Xinghua Iron and Steel Co Ltd,Ningxia Xinghua Iron and Steel Co Ltd,Fujian Longgang New Materials Co Ltd [100.0%],China,Asia Pacific,Ningxia,39.309571,106.79093,exact,operating,1,4.22,1500.0,1370.0,,,,,BF; BOF,719,https://www.gem.wiki/Ningxia_Xinghua_Iron_and_Steel_Co_Ltd
P100000120859,Nippon Chonburi steel plant,G J Steel PCL,G J Steel PCL [100.0%],Thailand,Asia Pacific,Chonburi,13.054668,101.078842,exact,operating,1,31.0,1500.0,0.0,,,,,EAF,804,https://www.gem.wiki/Nippon_Chonburi_steel_plant
P100000120664,Nippon East Japan Works (Kashima) steel plant,Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Ibaraki,35.93437,140.681019,exact,operating,3,58.0,5918.0,4896.0,,,920.0,,BF; BOF,3042,https://www.gem.wiki/Nippon_East_Japan_Works_(Kashima)_steel_plant
P100000120659,Nippon East Japan Works (Kimitsu) steel plant,Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Chiba,35.360912,139.881953,exact,operating,1,61.0,10001.0,9200.0,,13200.0,1800.0,,BF; BOF,3547,https://www.gem.wiki/Nippon_East_Japan_Works_(Kimitsu)_steel_plant
P100000120666,"Nippon Kansai Works (Wakayama Area, Wakayama) steel plant",Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Kansai,34.233519,135.135443,exact,operating,2,84.0,3043.0,2500.0,,,,,BF; BOF; EAF,5051,"https://www.gem.wiki/Nippon_Kansai_Works_(Wakayama_Area,_Wakayama)_steel_plant"
P100000120662,"Nippon Kyushu Works (Oita Area, Oita) steel plant",Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Oita,33.260829,131.645527,exact,operating,1,54.72,9999.0,10564.0,,7358.0,,,BF; BOF,2083,"https://www.gem.wiki/Nippon_Kyushu_Works_(Oita_Area,_Oita)_steel_plant"
P100000120665,"Nippon Kyushu Works (Yawata Area, Kokura) steel plant",Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Fukuoka,33.89771,130.882435,exact,retired,1,69.0,0.0,0.0,,,,,BF; BOF,1789,"https://www.gem.wiki/Nippon_Kyushu_Works_(Yawata_Area,_Kokura)_steel_plant"
P100000120663,"Nippon Kyushu Works (Yawata Area, Tobata) steel plant",Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Fukuoka,33.911803,130.838014,exact,operating,3,125.0,3726.0,4543.0,,,,,BF; EAF; BOF,1789,"https://www.gem.wiki/Nippon_Kyushu_Works_(Yawata_Area,_Tobata)_steel_plant"
P100000120661,Nippon Nagoya steel plant,Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Aichi,35.027575,136.870552,exact,operating,1,65.0,6000.0,9466.0,,,800.0,,BF; BOF,3183,https://www.gem.wiki/Nippon_Nagoya_steel_plant
P100000120858,Nippon Rayong Steel plant,G Steel PCL,Nippon Steel Corp [60.2%]; small shareholder(s) [12.8%]; natural person(s) [12.4%]; UOB Kay Hian Pte Ltd [7.5%]; Superior Overseas (Thailand) Co Ltd [7.0%],Thailand,Asia Pacific,Rayong,12.793786,101.244592,exact,operating,1,27.0,1800.0,0.0,,,,,EAF,662,https://www.gem.wiki/Nippon_Rayong_Steel_plant
P100000120667,Nippon Sanyo Special Steel,Sanyo Special Steel Co Ltd,Nippon Steel Corp [53.1%]; Mitsubishi UFJ Financial Group Inc [3.2%]; Nippon Life Insurance Co [2.3%]; Sumitomo Mitsui Trust Holdings Inc [2.0%]; Mizuho Financial Group Inc [1.6%]; Resona Bank Ltd [1.0%]; Meiji Yasuda Life Insurance Co [0.7%]; Norinchukin Bank [0.7%]; small shareholder(s) [0.6%]; The Dai-ichi Life Insurance Co Ltd [0.5%]; Asahi Mutual Life Insurance Co [0.3%],Japan,Asia Pacific,Hyogo,34.788074,134.672046,exact,operating,1,91.0,1596.0,0.0,,,,,EAF,1623,https://www.gem.wiki/Nippon_Sanyo_Special_Steel
P100000120658,Nippon Setouchi Works (Hirohata Area) steel plant,Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Hyogo,34.786879,134.625301,exact,operating,3,87.0,3536.0,570.0,,,,,DRI; EAF; BOF,1351,https://www.gem.wiki/Nippon_Setouchi_Works_(Hirohata_Area)_steel_plant
P100000120657,Nippon Setouchi Works (Kure Area) steel plant,Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Hiroshima,34.221172,132.540104,exact,retired,1,72.74,0.0,0.0,,,,,BF; BOF,2816,https://www.gem.wiki/Nippon_Setouchi_Works_(Kure_Area)_steel_plant
P100001041253,Nippon Stainless Steel Yamaguchi Works (Hikari Area) steel plant,Nippon Steel Stainless Steel Corp,Nippon Steel Stainless Steel Corp [100.0%],Japan,Asia Pacific,Yamaguchi,33.964661,131.935403,exact,operating,1,71.0,500.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Nippon_Stainless_Steel_Yamaguchi_Works_(Hikari_Area)_steel_plant
P100001041252,Nippon Stainless Steel Yamaguchi Works (Shunan Area) steel plant,Nippon Steel Stainless Steel Corp,Nippon Steel Stainless Steel Corp [100.0%],Japan,Asia Pacific,Yamaguchi,34.059009,131.777221,exact,operating,2,68.0,866.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Nippon_Stainless_Steel_Yamaguchi_Works_(Shunan_Area)_steel_plant
P100000120976,NLMK Indiana steel plant,NLMK Indiana LLC,Novolipetsk Steel PJSC,United States,North America,Indiana,41.625912,-87.159989,exact,operating,1,34.0,770.0,0.0,,,,,EAF,1100,https://www.gem.wiki/NLMK_Indiana_steel_plant
P100000120808,NLMK Lipetsk steel plant,Novolipetsk Steel PJSC,Novolipetsk Steel PJSC [100.0%],Russia,Eurasia,Lipetsk,52.557372,39.629574,exact,operating,1,92.0,14400.0,14200.0,,15000.0,2745.0,,BF; BOF,27000,https://www.gem.wiki/NLMK_Lipetsk_steel_plant
P100000121250,NLMK Stoilensky iron plant,Stoylenskiy Gorno-Obogatitel'nyi Kombinat JSC,Novolipetsk Steel PJSC [100.0%],Russia,Eurasia,Belgorod,51.243964,37.783498,exact,announced,1,,0.0,0.0,,,,9000.0,DRI,1300,https://www.gem.wiki/NLMK_Stoilensky_iron_plant
P100000120548,NMDC Karnataka steel plant,NMDC Steel Ltd,NMDC Steel Ltd [100.0%],India,Asia Pacific,Karnataka,15.186288,76.916591,approximate,cancelled,1,,0.0,0.0,,,,,BOF,unknown,https://www.gem.wiki/NMDC_Karnataka_steel_plant
P100000120523,NMDC Nagarnar steel plant,NMDC Steel Ltd,NMDC Steel Ltd [100.0%],India,Asia Pacific,Chhattisgarh,19.0931901,82.17,exact,operating,1,2.47,3000.0,3321.0,,4663.0,1763.0,2000.0,BF; BOF,5596,https://www.gem.wiki/NMDC_Nagarnar_steel_plant
P100000120936,North American Stainless Ghent steel plant,North American Stainless Inc,Acerinox SA [100.0%],United States,North America,Kentucky,38.725418,-85.076015,exact,operating,1,36.0,1600.0,0.0,,,,,EAF,1670,https://www.gem.wiki/North_American_Stainless_Ghent_steel_plant
P100000120660,North Nippon Muroran Works steel plant,Nippon Steel Corp,Nippon Steel Corp [100.0%],Japan,Asia Pacific,Hokkaidō,42.341873,140.997803,exact,operating,1,117.0,2200.0,1240.0,,,,,BF; BOF; EAF,1026,https://www.gem.wiki/North_Nippon_Muroran_Works_steel_plant
P100001064486,North West Steel Industries Ariq plant,North West Steel Industries Co,North West Steel Industries Co [100.0%],Iran,Middle East,East Azerbaijan,37.127089,46.17345,exact,operating,1,9.0,800.0,800.0,,,,,DRI; EAF,1000,https://www.gem.wiki/North_West_Steel_Industries_Ariq_plant
P100000120420,Nová Hut Ostrava steel plant,Nová Huť sro,SPV NH Ostrava sro [100.0%],Czech Republic,Europe,Moravia-Silesia,49.792139,18.309875,exact,construction,2,74.0,0.0,0.0,,,1200.0,,EAF; BF; BOF,6000,https://www.gem.wiki/Nová_Hut_Ostrava_steel_plant
P100000121234,Novasco Hagondange steel plant,Novasco BV,Greybull Capital,France,Europe,Moselle,49.241492,6.152631,exact,retired,1,113.83,0.0,0.0,,,,,EAF,450,https://www.gem.wiki/Novasco_Hagondange_steel_plant
P100000121158,Novorossiysk Rolling Plant Rostov,Novorossiysk Rolling Plant LLC,Novostal LLC [98.9%],Russia,Eurasia,Rostov,47.740457,40.189445,exact,operating,2,19.0,830.0,0.0,,,,,EAF,1546,https://www.gem.wiki/Novorossiysk_Rolling_Plant_Rostov
P100000120895,Nu-Iron Unlimited Point Lisas DRI plant,Nu-Iron Unlimited,Nucor Corp [100.0%],Trinidad and Tobago,Central & South America,Couva,10.399138,-61.486326,exact,operating,1,19.14,0.0,2000.0,,,,,DRI,8000,https://www.gem.wiki/Nu-Iron_Unlimited_Point_Lisas_DRI_plant
P100000120938,Nucor Steel Berkeley plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,South Carolina,33.004319,-79.880955,exact,operating,1,30.0,2956.0,0.0,,,,,EAF,975,https://www.gem.wiki/Nucor_Steel_Berkeley_plant
P100000121155,Nucor Steel Birmingham plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Alabama,33.545535,-86.805393,exact,operating,1,43.0,500.0,0.0,,,,,EAF,250,https://www.gem.wiki/Nucor_Steel_Birmingham_plant
P100000120953,Nucor Steel Brandenburg plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Kentucky,37.9999454,-86.1398738,exact,operating,1,4.0,1450.0,0.0,,,,,EAF,400,https://www.gem.wiki/Nucor_Steel_Brandenburg_plant
P100000120939,Nucor Steel Crawfordsville plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Indiana,39.976379,-86.830727,exact,operating,1,37.0,2304.0,0.0,,,,,EAF,850,https://www.gem.wiki/Nucor_Steel_Crawfordsville_plant
P100000120940,Nucor Steel Darlington plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,South Carolina,34.375628,-79.895165,exact,operating,1,57.0,910.0,0.0,,,,,EAF,470,https://www.gem.wiki/Nucor_Steel_Darlington_plant
P100000120945,Nucor Steel Decatur plant,Nucor Steel Decatur LLC,Nucor Corp [100.0%],United States,North America,Alabama,34.63963,-87.085738,exact,operating,1,29.0,3100.0,0.0,,,,,EAF,696,https://www.gem.wiki/Nucor_Steel_Decatur_plant
P100000120946,Nucor Steel Gallatin plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Kentucky,38.759878,-84.996204,exact,operating,1,31.0,2722.0,0.0,,,,,EAF,700,https://www.gem.wiki/Nucor_Steel_Gallatin_plant
P100000120941,Nucor Steel Hertford plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,North Carolina,36.353006,-76.811471,exact,operating,1,26.0,1542.0,0.0,,,,,EAF,500,https://www.gem.wiki/Nucor_Steel_Hertford_plant
P100000120942,Nucor Steel Hickman plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Arkansas,35.901162,-89.77619,exact,operating,1,34.0,2450.0,0.0,,,,,EAF,926,https://www.gem.wiki/Nucor_Steel_Hickman_plant
P100000120948,Nucor Steel Jewett plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Texas,31.351853,-96.165436,exact,operating,1,51.0,907.0,0.0,,,,,EAF,400,https://www.gem.wiki/Nucor_Steel_Jewett_plant
P100000120947,Nucor Steel Kankakee plant,Nucor Steel Kankakee Inc,Nucor Corp [100.0%],United States,North America,Illinois,41.180734,-87.856196,exact,operating,1,65.0,794.0,0.0,,,,,EAF,350,https://www.gem.wiki/Nucor_Steel_Kankakee_plant
P100000121000,Nucor Steel Kingman plant,Nucor Steel Kingman LLC,Nucor Corp [100.0%],United States,North America,Arizona,35.143192,-114.089568,exact,operating,1,0.39,572.0,0.0,,,,,EAF,140,https://www.gem.wiki/Nucor_Steel_Kingman_plant
P100000120987,Nucor Steel Louisiana,Nucor Steel Louisiana LLC,Nucor Corp [100.0%],United States,North America,Louisiana,30.076693,-90.859953,exact,operating,1,13.0,0.0,2500.0,,,,,DRI,170,https://www.gem.wiki/Nucor_Steel_Louisiana
P100000120944,Nucor Steel Memphis plant,Nucor Steel Memphis Inc,Nucor Corp [100.0%],United States,North America,Tennessee,35.048395,-90.163033,exact,operating,1,18.0,891.0,0.0,,,,,EAF,450,https://www.gem.wiki/Nucor_Steel_Memphis_plant
P100000120943,Nucor Steel Norfolk plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Nebraska,42.078908,-97.360854,exact,operating,1,47.0,1088.0,0.0,,,,,EAF,500,https://www.gem.wiki/Nucor_Steel_Norfolk_plant
P100000121221,Nucor Steel Pacific Northwest steel plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,unknown,47.569597,-122.367395,approximate,cancelled,1,,0.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Nucor_Steel_Pacific_Northwest_steel_plant
P100000120951,Nucor Steel Plymouth plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,Utah,41.882789,-112.196743,exact,operating,1,45.0,908.0,0.0,,,,,EAF,100,https://www.gem.wiki/Nucor_Steel_Plymouth_plant
P100000120952,Nucor Steel Seattle plant,Nucor Steel Seattle Inc,Nucor Corp,United States,North America,Washington,47.569597,-122.367395,exact,operating,1,122.0,855.0,0.0,,,,,EAF,320,https://www.gem.wiki/Nucor_Steel_Seattle_plant
P100000120950,Nucor Steel Tuscaloosa plant,Nucor Steel Tuscaloosa Inc,Nucor Corp [100.0%],United States,North America,Alabama,33.234761,-87.508498,exact,operating,1,41.0,1200.0,0.0,,,,,EAF,345,https://www.gem.wiki/Nucor_Steel_Tuscaloosa_plant
P100000120988,Nucor Steel West Virginia steel plant,Nucor Corp,Nucor Corp [100.0%],United States,North America,West Virginia,38.647729,-82.175875,exact,construction,1,,0.0,0.0,,,,,EAF,800,https://www.gem.wiki/Nucor_Steel_West_Virginia_steel_plant
P100000120949,Nucor-Yamato Steel Blytheville plant,Nucor Yamato Steel Co,Nucor Corp [51.0%]; Yamato Kogyo Co Ltd [49.0%],United States,North America,Arkansas,35.941421,-89.713819,exact,operating,1,38.0,3174.0,0.0,,,,,EAF,750,https://www.gem.wiki/Nucor-Yamato_Steel_Blytheville_plant
